#F data: /SNS/REF_M/IPTS-2318/30/6429/NeXus/REF_M_6429.nxs
#E 1270040325.95
#D 2010-03-31T08:58:45.948001-04:00
#C data Run Number: 6429
#C data Title: _No2
#C data Notes: NONE
#C data dt/t: 0.0492519250009
#C data Sample: Name; LSMO(3)/LSFO(6) bilayer on STO | Nature; 1
#C data Proton Charge: (15441830346800.0, 'picoCoulomb')
#C data Slit1 Size: (nan, None)
#C data Slit3 Size: (nan, None)
#C data Slit1-Slit3 Distance: (1.8849999904632568, 'metre')
#C data dtheta: (nan, 'radians')
#C data theta: (0.017478076562837844, 'radians')
#C data dtheta_over_theta: nan
#C HLR Version - 1.7.6
#C DOM Version - 1.7.2
#C SCL Version - 1.4.1

#S 1 Spectrum ID ('bank1', (176, 127))
#N 3
#L scalar wavevector transfer(1/Angstroms)  Intensity(Counts/A-1)  Sigma(Counts/A-1)
0.19   0.0   0.0
0.191   0.0   0.0
0.192   0.0   0.0
0.193   0.0   0.0
0.194   0.0   0.0
0.195   0.0   0.0
0.196   0.0   0.0
0.197   0.0   0.0
0.198   0.0   0.0
0.199   0.0   0.0
0.2   0.0   0.0
0.201   0.0   0.0
0.202   0.0   0.0
0.203   0.0   0.0
0.204   0.0   0.0
0.205   0.0   0.0
0.206   0.0   0.0
0.207   0.0   0.0
0.208   0.0   0.0
0.209   0.0   0.0
0.21   0.0   0.0
0.211   0.0   0.0
0.212   0.0   0.0
0.213   0.0   0.0
0.214   0.0   0.0
0.215   0.0   0.0
0.216   0.0   0.0
0.217   0.0   0.0
0.218   0.0   0.0
0.219   0.0   0.0
0.22   0.0   0.0
0.221   0.0   0.0
0.222   0.0   0.0
0.223   0.0   0.0
0.224   0.0   0.0
0.225   0.0   0.0
0.226   0.0   0.0
0.227   0.0   0.0
0.228   0.0   0.0
0.229   0.0   0.0
0.23   0.0   0.0
0.231   0.0   0.0
0.232   0.0   0.0
0.233   0.0   0.0
0.234   0.0   0.0
0.235   0.0   0.0
0.236   0.0   0.0
0.237   0.0   0.0
0.238   0.0   0.0
0.239   0.0   0.0
0.24   0.0   0.0
0.241   0.0   0.0
0.242   0.0   0.0
0.243   0.0   0.0
0.244   0.0   0.0
0.245   0.0   0.0
0.246   0.0   0.0
0.247   0.0   0.0
0.248   0.0   0.0
0.249   0.0   0.0
0.25   0.0   0.0
0.251   0.0   0.0
0.252   0.0   0.0
0.253   0.0   0.0
0.254   0.0   0.0
0.255   0.0   0.0
0.256   0.0   0.0
0.257   0.0   0.0
0.258   0.0   0.0
0.259   0.0   0.0
0.26   0.0   0.0
0.261   0.0   0.0
0.262   0.0   0.0
0.263   0.0   0.0
0.264   0.0   0.0
0.265   0.0   0.0
0.266   0.0   0.0
0.267   0.0   0.0
0.268   0.0   0.0
0.269   0.0   0.0
0.27   0.0   0.0
0.271   0.0   0.0
0.272   0.0   0.0
0.273   0.0   0.0
0.274   0.0   0.0
0.275   0.0   0.0
0.276   0.0   0.0
0.277   0.0   0.0
0.278   0.0   0.0
0.279   0.0   0.0
0.28   0.0   0.0
0.281   0.0   0.0
0.282   0.0   0.0
0.283   0.0   0.0
0.284   0.0   0.0
0.285   0.0   0.0
0.286   0.0   0.0
0.287   0.0   0.0
0.288   0.0   0.0
0.289   0.0   0.0
0.29   0.0   0.0
0.291   0.0   0.0
0.292   0.0   0.0
0.293   0.0   0.0
0.294   0.0   0.0
0.295   0.0   0.0
0.296   0.0   0.0
0.297   0.0   0.0
0.298   0.0   0.0
0.299   0.0   0.0
0.3   
