39562.3334536111	9.42E+04
39562.3334574653	0.00E+00
39562.5599258218	5.00E+00
39562.5599296759	1.50E+01
39562.5599335417	2.00E+01
39562.5599451042	3.60E+01
39562.5599489699	7.40E+01
39562.5599528241	1.61E+02
39562.5599566782	2.49E+02
39562.5599605440	3.11E+02
39562.5599643981	3.30E+02
39562.5599682523	3.21E+02
39562.5599721064	3.34E+02
39562.5599759722	3.41E+02
39562.5599798264	3.70E+02
39562.5599875463	3.57E+02
39562.5599914005	3.44E+02
39562.5599952546	3.31E+02
39562.5600068287	3.43E+02
39562.5600145486	3.53E+02
39562.5600222569	3.65E+02
39562.5600261227	3.71E+02
39562.5600301620	3.56E+02
39562.5600340278	3.43E+02
39562.5600376852	3.07E+02
39562.5600417361	3.17E+02
39562.5600454051	3.08E+02
39562.5600492593	3.19E+02
39562.5600533102	3.11E+02
39562.5600648843	3.03E+02
39562.5600687384	2.97E+02
39562.5600726042	2.56E+02
39562.5600803125	2.39E+02
39562.5600918866	2.49E+02
39562.5600957407	2.04E+02
39562.5600996065	1.16E+02
39562.5601034607	3.60E+01
39562.5601073148	2.00E+01
39562.5601188889	1.50E+01
39562.5601266088	3.70E+01
39562.5601304630	7.20E+01
39562.5601381713	5.60E+01
39562.5601420370	2.60E+01
39562.5601458912	4.10E+01
39562.5601497454	3.60E+01
39562.5601535995	4.10E+01
39562.5601574653	2.10E+01
39562.5601613194	1.50E+01
39562.5601651736	0.00E+00
39562.5601690394	1.00E+01
39562.5601728935	2.50E+01
39562.5601806019	5.00E+01
39562.5601844676	1.13E+02
39562.5601883218	2.25E+02
39562.5601921759	3.02E+02
39562.5601960301	3.23E+02
39562.5601998958	2.98E+02
39562.5602037500	2.52E+02
39562.5602076042	2.33E+02
39562.5602153241	2.77E+02
39562.5602191782	2.91E+02
39562.5602230324	3.01E+02
39562.5602268981	2.82E+02
39562.5602307523	2.76E+02
39562.5602346065	2.71E+02
39562.5602384722	2.86E+02
39562.5602423264	3.11E+02
39562.5602461806	3.20E+02
39562.5602539005	3.04E+02
39562.5602577546	3.24E+02
39562.5602616087	3.35E+02
39562.5602654745	3.40E+02
39562.5602693287	3.29E+02
39562.5602731829	3.23E+02
39562.5602770370	3.27E+02
39562.5602847569	3.23E+02
39562.5602886111	3.07E+02
39562.5602924769	2.85E+02
39562.5602963310	2.25E+02
