# Data Browser Export
# Version: 1.0
# Start: 2008/04/24 08:00:10.725000000
# End: 2008/04/24 18:00:00.000000000
# Source: Raw
# Spreadsheet: true
# With Severity/Status: false
# Format: Exponential (precision: 4 digits)
#
# Data is in TAB-delimited columns, should import into e.g. Excel

# PV: RTBT_Diag:BCM25I:Power1
# 
# Archives:
# 1) - All -
# 2) - All - (last restart)

#  Time	RTBT_Diag:BCM25I:Power1
2008/04/24 08:00:10.391854666	9.4207E4
2008/04/24 08:00:10.725197666	0.0000E0
2008/04/24 13:26:17.591097666	5.0000E0
2008/04/24 13:26:17.924368666	1.5000E1
2008/04/24 13:26:18.257642666	2.0000E1
2008/04/24 13:26:19.257470666	3.6000E1
2008/04/24 13:26:19.590749666	7.4000E1
2008/04/24 13:26:19.924030666	1.6100E2
2008/04/24 13:26:20.257313666	2.4900E2
2008/04/24 13:26:20.590598666	3.1100E2
2008/04/24 13:26:20.923885666	3.3000E2
2008/04/24 13:26:21.257174666	3.2100E2
2008/04/24 13:26:21.590464666	3.3400E2
2008/04/24 13:26:21.923754666	3.4100E2
2008/04/24 13:26:22.257045666	3.7000E2
2008/04/24 13:26:22.923628666	3.5700E2
2008/04/24 13:26:23.256919666	3.4400E2
2008/04/24 13:26:23.590209666	3.3100E2
2008/04/24 13:26:24.590073666	3.4300E2
2008/04/24 13:26:25.256649666	3.5300E2
2008/04/24 13:26:25.923228666	3.6500E2
2008/04/24 13:26:26.256517666	3.7100E2
2008/04/24 13:26:26.606471666	3.5600E2
2008/04/24 13:26:26.939759666	3.4300E2
2008/04/24 13:26:27.256382666	3.0700E2
2008/04/24 13:26:27.606332666	3.1700E2
2008/04/24 13:26:27.922954666	3.0800E2
2008/04/24 13:26:28.256240666	3.1900E2
2008/04/24 13:26:28.606189666	3.1100E2
2008/04/24 13:26:29.606044666	3.0300E2
2008/04/24 13:26:29.939330666	2.9700E2
2008/04/24 13:26:30.272615666	2.5600E2
2008/04/24 13:26:30.939183666	2.3900E2
2008/04/24 13:26:31.939034666	2.4900E2
2008/04/24 13:26:32.272317666	2.0400E2
2008/04/24 13:26:32.605599666	1.1600E2
2008/04/24 13:26:32.938880666	3.6000E1
2008/04/24 13:26:33.272158666	2.0000E1
2008/04/24 13:26:34.271986666	1.5000E1
2008/04/24 13:26:34.938534666	3.7000E1
2008/04/24 13:26:35.271808666	7.2000E1
2008/04/24 13:26:35.938352666	5.6000E1
2008/04/24 13:26:36.271624666	2.6000E1
2008/04/24 13:26:36.604897666	4.1000E1
2008/04/24 13:26:36.938169666	3.6000E1
2008/04/24 13:26:37.271441666	4.1000E1
2008/04/24 13:26:37.604714666	2.1000E1
2008/04/24 13:26:37.937987666	1.5000E1
2008/04/24 13:26:38.271260666	0.0000E0
2008/04/24 13:26:38.604534666	1.0000E1
2008/04/24 13:26:38.937810666	2.5000E1
2008/04/24 13:26:39.604362666	5.0000E1
2008/04/24 13:26:39.937639666	1.1300E2
2008/04/24 13:26:40.270917666	2.2500E2
2008/04/24 13:26:40.604198666	3.0200E2
2008/04/24 13:26:40.937479666	3.2300E2
2008/04/24 13:26:41.270762666	2.9800E2
2008/04/24 13:26:41.604043666	2.5200E2
2008/04/24 13:26:41.937324666	2.3300E2
2008/04/24 13:26:42.603884666	2.7700E2
2008/04/24 13:26:42.937164666	2.9100E2
2008/04/24 13:26:43.270445666	3.0100E2
2008/04/24 13:26:43.603727666	2.8200E2
2008/04/24 13:26:43.937008666	2.7600E2
2008/04/24 13:26:44.270289666	2.7100E2
2008/04/24 13:26:44.603570666	2.8600E2
2008/04/24 13:26:44.936852666	3.1100E2
2008/04/24 13:26:45.270134666	3.2000E2
2008/04/24 13:26:45.936697666	3.0400E2
2008/04/24 13:26:46.269979666	3.2400E2
2008/04/24 13:26:46.603261666	3.3500E2
2008/04/24 13:26:46.936544666	3.4000E2
2008/04/24 13:26:47.269826666	3.2900E2
2008/04/24 13:26:47.603110666	3.2300E2
2008/04/24 13:26:47.936393666	3.2700E2
2008/04/24 13:26:48.602959666	3.2300E2
2008/04/24 13:26:48.936240666	3.0700E2
2008/04/24 13:26:49.269522666	2.8500E2
2008/04/24 13:26:49.602803666	2.2500E2
2008/04/24 13:26:49.936083666	2.3500E2
2008/04/24 13:26:50.602645666	2.8700E2
2008/04/24 13:26:51.269209666	2.9900E2
2008/04/24 13:26:51.602492666	3.1400E2
2008/04/24 13:26:51.935776666	3.2900E2
2008/04/24 13:26:52.269060666	3.4800E2
2008/04/24 13:26:52.935629666	3.4300E2
2008/04/24 13:26:53.268915666	3.2800E2
2008/04/24 13:26:53.602202666	3.3800E2
2008/04/24 13:26:53.935489666	3.5200E2
2008/04/24 13:26:54.268777666	3.8000E2
2008/04/24 13:26:54.602067666	3.9200E2
2008/04/24 13:26:54.935357666	3.8000E2
2008/04/24 13:26:55.268647666	3.6600E2
2008/04/24 13:26:55.601938666	3.5200E2
2008/04/24 13:26:56.935114666	2.9600E2
2008/04/24 13:26:57.268412666	2.3500E2
2008/04/24 13:26:57.601712666	1.5900E2
2008/04/24 13:26:57.935015666	9.4000E1
2008/04/24 13:26:58.268319666	5.6000E1
2008/04/24 13:26:58.601625666	5.1000E1
2008/04/24 13:26:58.934933666	8.7000E1
2008/04/24 13:26:59.268243666	1.0800E2
2008/04/24 13:26:59.601554666	7.7000E1
2008/04/24 13:26:59.934868666	4.1000E1
2008/04/24 13:27:00.268183666	5.0000E0
2008/04/24 13:27:00.601500666	0.0000E0
2008/04/24 13:27:00.934819666	1.5000E1
